strategy,horizon,vol_window,target_vol,max_leverage,annual_return,annual_vol,sharpe,max_drawdown,n_trades,total_cost,time_in_market,avg_abs_exposure
momentum_vol_target,50,20.0,0.1,2.0,0.0916832783133179,0.0871757335275338,1.0500503430965775,-0.13144120437986184,1897,0.07945668000475667,0.7450278440731901,0.7340306078777752
momentum_vol_target,50,20.0,0.15,1.0,0.07119742365376291,0.09818599593050995,0.7497891435529593,-0.1603072024569216,544,0.05718814723824128,0.7450278440731901,0.7069286303011126
momentum_vol_target,50,20.0,0.15,1.5,0.1017720161513036,0.11893521564496805,0.8746627040953728,-0.19053645585974077,1184,0.08264695103836717,0.7450278440731901,0.9291711242843909
momentum_vol_target,50,20.0,0.15,2.0,0.12514516862006886,0.12691576608303948,0.9928494768763955,-0.19173515728990345,1587,0.10095239966238012,0.7450278440731901,1.0392197406548536
momentum_vol_target,50,20.0,0.2,1.0,0.07137981466621723,0.10715395019971538,0.6972817484704409,-0.18927423250880096,280,0.0575195888751599,0.7450278440731901,0.7359226762840259
momentum_vol_target,50,20.0,0.2,1.5,0.10489686841838486,0.14005766159195554,0.7826455995165755,-0.21994535274668764,731,0.08487435030169385,0.7450278440731901,1.0320553424966352
momentum_vol_target,50,20.0,0.2,2.0,0.13434590637565957,0.15858028752662406,0.8746627040953728,-0.24889524520468911,1184,0.11019593471782288,0.7450278440731901,1.238894832379188
momentum_vol_target,50,60.0,0.1,1.0,0.055042091771037915,0.07909493539557035,0.7171444429141681,-0.13038409831350792,1427,0.04711060886974057,0.7450278440731901,0.584019981579151
momentum_vol_target,50,60.0,0.1,1.5,0.06583797125611279,0.083557885532579,0.8050538754624096,-0.13274251305775547,1855,0.05185418755412245,0.7450278440731901,0.6407941730797319
momentum_vol_target,50,60.0,0.1,2.0,0.06802785726199234,0.08409699984867314,0.8248384012011085,-0.13274251305775547,1922,0.05289304069493572,0.7450278440731901,0.6469334254921657
momentum_vol_target,50,60.0,0.15,1.0,0.06386735658136433,0.09896724087854127,0.675292618909128,-0.1594353860126816,664,0.054083016467330644,0.7450278440731901,0.6948015769904925
momentum_vol_target,50,60.0,0.15,1.5,0.08112733046622367,0.11864240309335551,0.7171444429141681,-0.1914563259535709,1427,0.07066591330461085,0.7450278440731901,0.8760299723687266
momentum_vol_target,50,60.0,0.15,2.0,0.09311678269911061,0.12412955861131218,0.7797009073483665,-0.1947655680218677,1695,0.07515666307786033,0.7450278440731901,0.9444594924765615
momentum_vol_target,50,60.0,0.2,1.0,0.06561927476708695,0.10554379899898592,0.6552132034154675,-0.19545552217733198,323,0.05653657100398897,0.7450278440731901,0.7257153929930804
momentum_vol_target,50,60.0,0.2,1.5,0.08992905269158014,0.1416169636943495,0.6793510200828378,-0.21456929146704143,839,0.07848490428899796,0.7450278440731901,1.006646299926568
momentum_vol_target,50,60.0,0.2,2.0,0.10610008684878669,0.1581898707911407,0.7171444429141681,-0.24973728497744477,1427,0.09422121773948114,0.7450278440731901,1.168039963158302
momentum_vol_target,50,120.0,0.1,1.0,0.04863686944404799,0.07491570805715823,0.6715692542421021,-0.1206247608531093,1564,0.04120090356633489,0.7450278440731901,0.5274433167794041
momentum_vol_target,50,120.0,0.1,1.5,0.056074702751618855,0.07824820738208234,0.7365825864011638,-0.12377827569546129,1826,0.04309244972046596,0.7450278440731901,0.5670418062809995
momentum_vol_target,50,120.0,0.1,2.0,0.056332641758504165,0.07830226311524213,0.739247304383094,-0.12377827569546065,1865,0.04328680868372263,0.7450278440731901,0.5677719446016422
momentum_vol_target,50,120.0,0.15,1.0,0.06297692548303813,0.09450948023688806,0.6937023239621869,-0.16320235963527507,749,0.05026006252672793,0.7450278440731901,0.6550724812124824
momentum_vol_target,50,120.0,0.15,1.5,0.07155399357020897,0.11237356208573734,0.6715692542421021,-0.1776643184788894,1564,0.06180135534950234,0.7450278440731901,0.791164975169106
momentum_vol_target,50,120.0,0.15,2.0,0.07969119315227569,0.11653328611499997,0.7166468740811587,-0.1796849413836539,1694,0.06349985881239331,0.7450278440731901,0.8400061053787204
momentum_vol_target,50,120.0,0.2,1.0,0.06444364905035127,0.10246193394301972,0.6609958898345549,-0.1970338186930859,356,0.053610582914588145,0.7450278440731901,0.6939077893318077
momentum_vol_target,50,120.0,0.2,1.5,0.08823008196904181,0.13578644100106352,0.6910435163929463,-0.2190095622122789,963,0.07249546154473277,0.7450278440731901,0.9450056750069938
momentum_vol_target,50,120.0,0.2,2.0,0.0934083629178597,0.14983141611431647,0.6715692542421021,-0.23244269211743537,1564,0.08240180713266979,0.7450278440731901,1.0548866335588083
